contributor_zip,total_population,median_age,median_income,num_donations,total_amt_donated,white_alone_percent,black_alone_percent,native_american_percent,asian_alone_percent,hawaiian_pacific_percent,other_race_percent,two_or_more_races_percent,amt_donated_per_resident
21648,181,48.2,137500,1,200,90.60773480662984,2.209944751381215,0,6.629834254143646,0,0.5524861878453038,0,1.1049723756906078
20607,12080,42.8,151475,22,13295.09,18.683774834437088,65.7615894039735,0.7698675496688742,5.347682119205298,0,0.9685430463576159,8.468543046357615,1.1005869205298013
21012,23144,38.4,136705,25,24404.08,81.61078465260975,5.146042170756999,0.13826477704804702,3.6553750432077425,0,0.8166263394400276,8.632907016937436,1.054445212582095
21117,58516,36.8,96672,41,60301.54,33.860824389910455,52.58732654316768,0.008544671542825894,5.318203568254836,0.14696835053660537,2.3651650830542073,5.7129673935333924,1.0305137056531548
20838,368,34.7,195938,1,377.91999999999996,91.84782608695652,0,0,0.2717391304347826,0,4.076086956521739,3.804347826086957,1.0269565217391303
21782,4389,42.1,82256,3,4500,97.60765550239235,0,0.09113693324219639,0.4329004329004329,0,0.3189792663476874,1.5493278651173388,1.0252904989747096
21120,7319,44,148090,4,7476.71,89.08320808853668,2.1314387211367674,0,2.828255226123787,0,1.666894384478754,4.290203579724006,1.0215480256865692
21163,7222,46.3,123858,9,7288.47,44.22597618388258,24.328440875103848,0,24.53613957352534,0.1800055386319579,1.9523677651620048,4.777070063694268,1.009203821656051
20781,13299,34.1,89281,13,13375,32.97992330250395,25.04699601473795,0.9699977441912927,3.789758628468306,0.43612301676817805,30.272952853598017,6.504248439732311,1.0057147153921346
20837,6651,44.9,193264,4,6591.02,78.51450909637649,3.0822432716884682,0,7.833408509998496,0,4.3602465794617355,6.209592542474816,0.9909818072470306
21209,29960,35.3,89398,36,29581.09,68.85180240320427,21.832443257676903,0.02002670226969292,4.636181575433912,0.043391188251001335,1.855807743658211,2.760347129506008,0.9873528037383178
21795,9772,40.9,84833,7,9530.75,87.01391731477692,4.124027834629554,0.08186655751125665,0.9209987720016374,0,0.5321326238231682,7.327056897257471,0.9753121162505116
20772,52596,42.2,131973,83,51186.62,12.255684842953837,77.46216442315004,0.34793520419803786,1.2320328542094456,0.14639896570081376,4.47752680812229,4.078256901665526,0.9732036656779984
21042,42528,44.6,178207,54,40114.64,58.2181151241535,4.40415726109857,0.3644657637321294,30.45287810383747,0.14578630549285176,1.0275583145221971,5.3870391271632805,0.943252445447705
20754,7344,39.6,166976,6,6850,82.6797385620915,7.652505446623094,0.20424836601307192,2.2058823529411766,0,0.8169934640522877,6.440631808278867,0.9327342047930284
21286,21142,41.5,92722,17,18733.81,72.16441207075962,15.395894428152493,0.03310945038312364,4.233279727556523,0.03310945038312364,2.951471005581307,5.188723867183804,0.8860945038312364
21046,15894,37.7,125280,22,13957.65,54.24059393481817,31.653454133635332,0.03775009437523594,6.958600729835158,0.1887504718761797,0.9122939474015351,6.008556688058387,0.8781710079275198
21218,46548,34.1,58847,42,40309.4,28.037724499441435,60.16799862507519,0.5736014436710493,4.846609951018304,0.06874624043997593,1.1278680072183551,5.177451233135688,0.8659749076222394
20765,604,53.7,139167,1,520.51,70.03311258278146,29.96688741721854,0,0,0,0,0,0.8617715231788079
20833,7949,46.6,195564,7,6841.78,65.74411875707636,9.938357026041011,0.3648257642470751,9.510630267958234,0,3.648257642470751,10.793810542206566,0.8607095232104667
20855,16558,41.9,146036,16,14250,55.429399685952404,12.912187462253897,1.5279623142891654,16.777388573499216,0,4.16716994806136,9.185892015943955,0.8606111849257156
20905,17451,41.6,142929,25,14713.21,43.48747922755143,24.153343647928484,0,13.586613947624778,0,10.199988539338719,8.572574637556588,0.8431155807690103
20646,21248,43.1,130168,14,17561.27,66.8910015060241,24.246987951807228,0.48004518072289154,2.654367469879518,0,1.120105421686747,4.607492469879518,0.8264904932228916
20617,630,41.1,123438,1,520.51,70.47619047619048,19.20634920634921,0,0,0,0,10.317460317460316,0.8262063492063492
21085,16590,43.8,100573,4,12850,76.99216395418928,16.232670283303193,0.13863773357444242,1.4165159734779988,0,2.2724532851115127,2.9475587703435804,0.7745629897528632
21047,13419,45.1,150593,8,10260.25,86.58618376928237,2.0716893956330575,0,5.454951933825173,0,0.14904240256352932,5.738132498695879,0.7646061554512259
21108,18046,39.8,142001,17,13725.07,77.10295910451069,9.370497617200488,0.07757951900698215,5.048210129668624,0,1.108278842956888,7.292474786656323,0.7605602349551147
20776,2966,51.2,118092,3,2250,86.58125421443022,12.508428860418071,0,0,0,0.30343897505057316,0.6068779501011463,0.758597437626433
20723,35845,36.7,128226,16,27175,39.93862463384015,31.293067373413308,0.10322220672339238,16.063607197656577,0,5.998047147440368,6.603431440926211,0.7581252615427535
20850,51072,40.2,125268,43,37976.81,48.34351503759399,11.444627192982457,0.12139724310776942,26.368656015037594,0,5.989583333333334,7.7322211779448615,0.7435935541979949
20675,2060,51.5,128325,1,1500,45.33980582524272,34.66019417475728,0,1.3106796116504855,0,6.067961165048544,12.62135922330097,0.7281553398058253
20674,807,37.1,165650,2,585,78.06691449814126,15.489467162329614,0,2.8500619578686495,0,0,3.593556381660471,0.724907063197026
20650,15522,37.6,137854,11,11141.4,77.97964179873728,6.829016879268135,0.012884937508053087,3.1245973457028735,0,0.5153975003221235,11.538461538461538,0.7177812137611133
21758,4610,39,103081,1,3300,82.40780911062907,6.442516268980477,0.1301518438177874,2.472885032537961,0,0.10845986984815618,8.43817787418655,0.7158351409978309
20782,34625,36.6,82037,37,24098.5,18.631046931407944,37.802166064981954,0.5256317689530686,4.381227436823105,0,31.425270758122743,7.234657039711191,0.695985559566787
21813,2927,47.4,103387,1,2000,85.61667236077895,6.217970618380594,0,0.0341646737273659,0,1.400751622822002,6.730440724291083,0.683293474547318
20676,2897,50,161071,4,1956.15,88.33275802554367,6.4204349326889885,0,0,0,0,5.246807041767346,0.6752329996548153
21811,24456,54.9,87611,21,16476.4,84.1184167484462,8.513248282630029,0.03680078508341511,2.269381746810599,0,1.0958456002616945,3.9663068367680734,0.673716061498201
20623,2457,49.5,116475,3,1600,5.046805046805047,89.13308913308914,0,0,0,0.5698005698005698,5.25030525030525,0.6512006512006512
20878,65954,40.3,141902,57,42296.41,49.24796069988174,10.088849804409133,0.30779027807259607,26.95060193468175,0,5.2445643933650725,8.160232889589714,0.6413016647966765
21211,15935,36.7,79909,18,10092.02,76.32256040163163,9.030436146846563,1.5312205836209603,7.147787888296203,0.031377470975839344,0.527141512394101,5.409475996234703,0.6333241292751804
21087,5597,52.4,113472,7,3530.76,95.35465427907808,1.1256030016080043,0.3394675719135251,0.2501340003573343,0,0.6968018581382884,2.2333392889047703,0.6308308022154726
21797,9034,45.1,179271,6,5691.35,88.01195483728138,2.2027894620323223,0.2988709320345362,4.328093867611246,0,0.24352446313925172,4.914766437901262,0.6299922514943547
